experiment,model,dataset,exact_match,normalized_exact_match,rouge_l,n
Exp1,Base SmolVLM2,Bangla-Bayanno,0.30666666666666664,0.30666666666666664,0.31222222222222223,300
Exp1,BanglaVLM-v1,Bangla-Bayanno,0.3347322142286171,0.3351318944844125,0.34167142476494994,5004
Exp2,Base SmolVLM2,bayanno,0.0,0.0,0.002321951962239732,5004
Exp2,Base SmolVLM2,chitrojera,0.0,0.0,0.001758481170245876,1224
Exp2,BanglaVLM-v1,bayanno,0.3347322142286171,0.3351318944844125,0.34167142476494994,5004
Exp2,BanglaVLM-v1,chitrojera,0.03104575163398693,0.03104575163398693,0.05343137254901961,1224
Exp2,BanglaVLM-v2,bayanno,0.32334132693844925,0.3237410071942446,0.33111320467435573,5004
Exp2,BanglaVLM-v2,chitrojera,0.06290849673202614,0.06290849673202614,0.09950980392156862,1224
Exp3,Base SmolVLM2,Bangla-Bayanno,0.0,0.0,0.0005714285714285,500
Exp3,Base SmolVLM2,ChitroJera,0.0,0.0,0.0013333333333333,500
Exp3,Base SmolVLM2,BanglaVerse,0.0,0.0,0.0054714285714285,500
Exp3,BanglaVLM-v1,Bangla-Bayanno,0.342,0.342,0.3473333333333333,500
Exp3,BanglaVLM-v1,ChitroJera,0.032,0.032,0.0516666666666666,500
Exp3,BanglaVLM-v1,BanglaVerse,0.0,0.0,0.0036666666666666,500
Exp3,BanglaVLM-v2,Bangla-Bayanno,0.312,0.312,0.3193333333333333,500
Exp3,BanglaVLM-v2,ChitroJera,0.06,0.06,0.0935999999999999,500
Exp3,BanglaVLM-v2,BanglaVerse,0.004,0.004,0.0155714285714285,500
